,Timeline,Covid-19 impact,Country
1075,2/16/20,481,Mainland China
1076,2/17/20,495,Mainland China
1077,2/18/20,508,Mainland China
1078,2/19/20,514,Mainland China
1079,2/20/20,520,Mainland China
1080,2/21/20,525,Mainland China
1081,2/22/20,526,Mainland China
1082,2/23/20,526,Mainland China
1083,2/24/20,527,Mainland China
1084,2/25/20,529,Mainland China
1085,2/26/20,531,Mainland China
1086,2/27/20,534,Mainland China
1087,2/28/20,538,Mainland China
1088,2/29/20,538,Mainland China
1089,3/1/20,538,Mainland China
1090,3/2/20,538,Mainland China
1091,3/3/20,538,Mainland China
1092,1/22/20,4,Mainland China
1093,1/23/20,4,Mainland China
1094,1/24/20,8,Mainland China
1095,1/25/20,10,Mainland China
1096,1/26/20,14,Mainland China
1097,1/27/20,23,Mainland China
1098,1/28/20,24,Mainland China
1099,1/29/20,27,Mainland China
1100,1/30/20,31,Mainland China
1101,1/31/20,32,Mainland China
1102,2/1/20,41,Mainland China
1103,2/2/20,48,Mainland China
1104,2/3/20,60,Mainland China
1105,2/4/20,67,Mainland China
1106,2/5/20,69,Mainland China
1107,2/6/20,79,Mainland China
1108,2/7/20,81,Mainland China
1109,2/8/20,88,Mainland China
1110,2/9/20,91,Mainland China
1111,2/10/20,95,Mainland China
1112,2/11/20,106,Mainland China
1113,2/12/20,112,Mainland China
1114,2/13/20,119,Mainland China
1115,2/14/20,120,Mainland China
1116,2/15/20,122,Mainland China
1117,2/16/20,124,Mainland China
1118,2/17/20,125,Mainland China
1119,2/18/20,128,Mainland China
1120,2/19/20,130,Mainland China
1121,2/20/20,131,Mainland China
1122,2/21/20,132,Mainland China
1123,2/22/20,135,Mainland China
1124,2/23/20,135,Mainland China
1125,2/24/20,135,Mainland China
1126,2/25/20,135,Mainland China
1127,2/26/20,135,Mainland China
1128,2/27/20,136,Mainland China
1129,2/28/20,136,Mainland China
1130,2/29/20,136,Mainland China
1131,3/1/20,136,Mainland China
1132,3/2/20,136,Mainland China
1133,3/3/20,136,Mainland China
1134,1/22/20,0,Mainland China
1135,1/23/20,0,Mainland China
1136,1/24/20,0,Mainland China
1137,1/25/20,0,Mainland China
1138,1/26/20,0,Mainland China
1139,1/27/20,0,Mainland China
1140,1/28/20,0,Mainland China
1141,1/29/20,0,Mainland China
1142,1/30/20,1,Mainland China
1143,1/31/20,1,Mainland China
1144,2/1/20,1,Mainland China
1145,2/2/20,1,Mainland China
1146,2/3/20,1,Mainland China
1147,2/4/20,1,Mainland China
1148,2/5/20,1,Mainland China
1149,2/6/20,1,Mainland China
1150,2/7/20,1,Mainland China
1151,2/8/20,1,Mainland China
1152,2/9/20,1,Mainland China
1153,2/10/20,1,Mainland China
1154,2/11/20,1,Mainland China
1155,2/12/20,1,Mainland China
1156,2/13/20,1,Mainland China
1157,2/14/20,1,Mainland China
1158,2/15/20,1,Mainland China
1159,2/16/20,1,Mainland China
1160,2/17/20,1,Mainland China
1161,2/18/20,1,Mainland China
1162,2/19/20,1,Mainland China
1163,2/20/20,1,Mainland China
1164,2/21/20,1,Mainland China
1165,2/22/20,1,Mainland China
1166,2/23/20,1,Mainland China
1167,2/24/20,1,Mainland China
1168,2/25/20,1,Mainland China
1169,2/26/20,1,Mainland China
1170,2/27/20,1,Mainland China
1171,2/28/20,1,Mainland China
1172,2/29/20,1,Mainland China
1173,3/1/20,1,Mainland China
1174,3/2/20,1,Mainland China
1175,3/3/20,1,Mainland China
1176,1/22/20,0,Mainland China
1177,1/23/20,2,Mainland China
1178,1/24/20,2,Mainland China
1179,1/25/20,3,Mainland China
1180,1/26/20,4,Mainland China
1181,1/27/20,5,Mainland China
1182,1/28/20,10,Mainland China
1183,1/29/20,13,Mainland China
1184,1/30/20,14,Mainland China
1185,1/31/20,17,Mainland China
1186,2/1/20,18,Mainland China
1187,2/2/20,21,Mainland China
1188,2/3/20,24,Mainland China
1189,2/4/20,29,Mainland China
1190,2/5/20,32,Mainland China
1191,2/6/20,36,Mainland China
1192,2/7/20,39,Mainland China
1193,2/8/20,42,Mainland China
1194,2/9/20,45,Mainland China
1195,2/10/20,49,Mainland China
1196,2/11/20,55,Mainland China
1197,2/12/20,59,Mainland China
1198,2/13/20,63,Mainland China
1199,2/14/20,65,Mainland China
1200,2/15/20,70,Mainland China
1201,2/16/20,71,Mainland China
1202,2/17/20,75,Mainland China
1203,2/18/20,76,Mainland China
1204,2/19/20,76,Mainland China
1205,2/20/20,76,Mainland China
1206,2/21/20,76,Mainland China
1207,2/22/20,76,Mainland China
1208,2/23/20,76,Mainland China
1209,2/24/20,76,Mainland China
1210,2/25/20,76,Mainland China
1211,2/26/20,76,Mainland China
1212,2/27/20,76,Mainland China
1213,2/28/20,76,Mainland China
1214,2/29/20,76,Mainland China
1215,3/1/20,76,Mainland China
1216,3/2/20,76,Mainland China
1217,3/3/20,76,Mainland China
1218,1/22/20,1,Mainland China
1219,1/23/20,2,Mainland China
1220,1/24/20,5,Mainland China
1221,1/25/20,11,Mainland China
1222,1/26/20,16,Mainland China
1223,1/27/20,26,Mainland China
1224,1/28/20,44,Mainland China
1225,1/29/20,55,Mainland China
1226,1/30/20,70,Mainland China
1227,1/31/20,83,Mainland China
1228,2/1/20,93,Mainland China
1229,2/2/20,105,Mainland China
1230,2/3/20,117,Mainland China
1231,2/4/20,122,Mainland China
1232,2/5/20,128,Mainland China
1233,2/6/20,133,Mainland China
1234,2/7/20,138,Mainland China
1235,2/8/20,138,Mainland China
1236,2/9/20,141,Mainland China
1237,2/10/20,149,Mainland China
1238,2/11/20,153,Mainland China
1239,2/12/20,154,Mainland China
1240,2/13/20,156,Mainland China
1241,2/14/20,162,Mainland China
1242,2/15/20,168,Mainland China
1243,2/16/20,171,Mainland China
1244,2/17/20,171,Mainland China
1245,2/18/20,172,Mainland China
1246,2/19/20,172,Mainland China
1247,2/20/20,174,Mainland China
1248,2/21/20,174,Mainland China
1249,2/22/20,174,Mainland China
1250,2/23/20,174,Mainland China
1251,2/24/20,174,Mainland China
1252,2/25/20,174,Mainland China
1253,2/26/20,174,Mainland China
1254,2/27/20,174,Mainland China
1255,2/28/20,174,Mainland China
1256,2/29/20,174,Mainland China
1257,3/1/20,174,Mainland China
1258,3/2/20,174,Mainland China
1259,3/3/20,174,Mainland China
1260,1/22/20,10,Mainland China
1261,1/23/20,27,Mainland China
1262,1/24/20,43,Mainland China
1263,1/25/20,62,Mainland China
1264,1/26/20,104,Mainland China
1265,1/27/20,128,Mainland China
1266,1/28/20,173,Mainland China
1267,1/29/20,296,Mainland China
1268,1/30/20,428,Mainland China
1269,1/31/20,538,Mainland China
1270,2/1/20,599,Mainland China
1271,2/2/20,661,Mainland China
1272,2/3/20,724,Mainland China
1273,2/4/20,829,Mainland China
1274,2/5/20,895,Mainland China
1275,2/6/20,954,Mainland China
1276,2/7/20,1006,Mainland China
1277,2/8/20,1048,Mainland China
1278,2/9/20,1075,Mainland China
1279,2/10/20,1092,Mainland China
1280,2/11/20,1117,Mainland China
1281,2/12/20,1131,Mainland China
1282,2/13/20,1145,Mainland China
1283,2/14/20,1155,Mainland China
1284,2/15/20,1162,Mainland China
1285,2/16/20,1167,Mainland China
1286,2/17/20,1171,Mainland China
1287,2/18/20,1172,Mainland China
1288,2/19/20,1174,Mainland China
1289,2/20/20,1175,Mainland China
1290,2/21/20,1203,Mainland China
1291,2/22/20,1205,Mainland China
1292,2/23/20,1205,Mainland China
1293,2/24/20,1205,Mainland China
1294,2/25/20,1205,Mainland China
1295,2/26/20,1205,Mainland China
1296,2/27/20,1205,Mainland China
1297,2/28/20,1205,Mainland China
1298,2/29/20,1205,Mainland China
1299,3/1/20,1205,Mainland China
1300,3/2/20,1206,Mainland China
1301,3/3/20,1213,Mainland China
1302,1/22/20,2,Thailand
1303,1/23/20,3,Thailand
1304,1/24/20,5,Thailand
1305,1/25/20,7,Thailand
1306,1/26/20,8,Thailand
1307,1/27/20,8,Thailand
1308,1/28/20,14,Thailand
1309,1/29/20,14,Thailand
1310,1/30/20,14,Thailand
1311,1/31/20,19,Thailand
1312,2/1/20,19,Thailand
1313,2/2/20,19,Thailand
1314,2/3/20,19,Thailand
1315,2/4/20,25,Thailand
1316,2/5/20,25,Thailand
1317,2/6/20,25,Thailand
1318,2/7/20,25,Thailand
1319,2/8/20,32,Thailand
1320,2/9/20,32,Thailand
1321,2/10/20,32,Thailand
1322,2/11/20,33,Thailand
1323,2/12/20,33,Thailand
1324,2/13/20,33,Thailand
1325,2/14/20,33,Thailand
1326,2/15/20,33,Thailand
1327,2/16/20,34,Thailand
1328,2/17/20,35,Thailand
1329,2/18/20,35,Thailand
1330,2/19/20,35,Thailand
1331,2/20/20,35,Thailand
1332,2/21/20,35,Thailand
1333,2/22/20,35,Thailand
1334,2/23/20,35,Thailand
1335,2/24/20,35,Thailand
1336,2/25/20,37,Thailand
1337,2/26/20,40,Thailand
1338,2/27/20,40,Thailand
1339,2/28/20,41,Thailand
1340,2/29/20,42,Thailand
1341,3/1/20,42,Thailand
1342,3/2/20,43,Thailand
1343,3/3/20,43,Thailand
1344,1/22/20,2,Japan
1345,1/23/20,1,Japan
1346,1/24/20,2,Japan
1347,1/25/20,2,Japan
1348,1/26/20,4,Japan
1349,1/27/20,4,Japan
1350,1/28/20,7,Japan
1351,1/29/20,7,Japan
1352,1/30/20,11,Japan
1353,1/31/20,15,Japan
1354,2/1/20,20,Japan
1355,2/2/20,20,Japan
1356,2/3/20,20,Japan
1357,2/4/20,22,Japan
1358,2/5/20,22,Japan
1359,2/6/20,45,Japan
1360,2/7/20,25,Japan
1361,2/8/20,25,Japan
1362,2/9/20,26,Japan
1363,2/10/20,26,Japan
1364,2/11/20,26,Japan
1365,2/12/20,28,Japan
1366,2/13/20,28,Japan
1367,2/14/20,29,Japan
1368,2/15/20,43,Japan
1369,2/16/20,59,Japan
1370,2/17/20,66,Japan
1371,2/18/20,74,Japan
1372,2/19/20,84,Japan
1373,2/20/20,94,Japan
1374,2/21/20,105,Japan
1375,2/22/20,122,Japan
1376,2/23/20,147,Japan
1377,2/24/20,159,Japan
1378,2/25/20,170,Japan
1379,2/26/20,189,Japan
1380,2/27/20,214,Japan
1381,2/28/20,228,Japan
1382,2/29/20,241,Japan
1383,3/1/20,256,Japan
1384,3/2/20,274,Japan
1385,3/3/20,293,Japan
1386,1/22/20,1,South Korea
1387,1/23/20,1,South Korea
1388,1/24/20,2,South Korea
1389,1/25/20,2,South Korea
1390,1/26/20,3,South Korea
1391,1/27/20,4,South Korea
1392,1/28/20,4,South Korea
1393,1/29/20,4,South Korea
1394,1/30/20,4,South Korea
1395,1/31/20,11,South Korea
1396,2/1/20,12,South Korea
1397,2/2/20,15,South Korea
1398,2/3/20,15,South Korea
1399,2/4/20,16,South Korea
1400,2/5/20,19,South Korea
1401,2/6/20,23,South Korea
1402,2/7/20,24,South Korea
1403,2/8/20,24,South Korea
1404,2/9/20,25,South Korea
1405,2/10/20,27,South Korea
1406,2/11/20,28,South Korea
1407,2/12/20,28,South Korea
1408,2/13/20,28,South Korea
1409,2/14/20,28,South Korea
1410,2/15/20,28,South Korea
1411,2/16/20,29,South Korea
1412,2/17/20,30,South Korea
1413,2/18/20,31,South Korea
1414,2/19/20,31,South Korea
1415,2/20/20,104,South Korea
1416,2/21/20,204,South Korea
1417,2/22/20,433,South Korea
1418,2/23/20,602,South Korea
1419,2/24/20,833,South Korea
1420,2/25/20,977,South Korea
1421,2/26/20,1261,South Korea
1422,2/27/20,1766,South Korea
1423,2/28/20,2337,South Korea
1424,2/29/20,3150,South Korea
1425,3/1/20,3736,South Korea
1426,3/2/20,4335,South Korea
1427,3/3/20,5186,South Korea
1428,1/22/20,1,Taiwan
1429,1/23/20,1,Taiwan
1430,1/24/20,3,Taiwan
1431,1/25/20,3,Taiwan
1432,1/26/20,4,Taiwan
1433,1/27/20,5,Taiwan
1434,1/28/20,8,Taiwan
1435,1/29/20,8,Taiwan
1436,1/30/20,9,Taiwan
1437,1/31/20,10,Taiwan
1438,2/1/20,10,Taiwan
1439,2/2/20,10,Taiwan
1440,2/3/20,10,Taiwan
1441,2/4/20,11,Taiwan
1442,2/5/20,11,Taiwan
1443,2/6/20,16,Taiwan
1444,2/7/20,16,Taiwan
1445,2/8/20,17,Taiwan
1446,2/9/20,18,Taiwan
1447,2/10/20,18,Taiwan
1448,2/11/20,18,Taiwan
1449,2/12/20,18,Taiwan
1450,2/13/20,18,Taiwan
1451,2/14/20,18,Taiwan
1452,2/15/20,18,Taiwan
1453,2/16/20,20,Taiwan
1454,2/17/20,22,Taiwan
1455,2/18/20,22,Taiwan
1456,2/19/20,23,Taiwan
1457,2/20/20,24,Taiwan
1458,2/21/20,26,Taiwan
1459,2/22/20,26,Taiwan
1460,2/23/20,28,Taiwan
1461,2/24/20,30,Taiwan
1462,2/25/20,31,Taiwan
1463,2/26/20,32,Taiwan
1464,2/27/20,32,Taiwan
1465,2/28/20,34,Taiwan
1466,2/29/20,39,Taiwan
1467,3/1/20,40,Taiwan
1468,3/2/20,41,Taiwan
1469,3/3/20,42,Taiwan
1470,1/22/20,1,US
1471,1/23/20,1,US
1472,1/24/20,1,US
1473,1/25/20,1,US
1474,1/26/20,1,US
1475,1/27/20,1,US
1476,1/28/20,1,US
1477,1/29/20,1,US
1478,1/30/20,1,US
1479,1/31/20,1,US
1480,2/1/20,1,US
1481,2/2/20,1,US
1482,2/3/20,1,US
1483,2/4/20,1,US
1484,2/5/20,1,US
1485,2/6/20,1,US
1486,2/7/20,1,US
1487,2/8/20,1,US
1488,2/9/20,1,US
1489,2/10/20,1,US
1490,2/11/20,1,US
1491,2/12/20,1,US
1492,2/13/20,1,US
1493,2/14/20,1,US
1494,2/15/20,1,US
1495,2/16/20,1,US
1496,2/17/20,1,US
1497,2/18/20,1,US
1498,2/19/20,1,US
1499,2/20/20,1,US
1500,2/21/20,1,US
1501,2/22/20,1,US
1502,2/23/20,1,US
1503,2/24/20,1,US
1504,2/25/20,1,US
1505,2/26/20,1,US
1506,2/27/20,1,US
1507,2/28/20,1,US
1508,2/29/20,6,US
1509,3/1/20,9,US
1510,3/2/20,14,US
1511,3/3/20,21,US
1512,1/22/20,0,US
1513,1/23/20,0,US
1514,1/24/20,1,US
1515,1/25/20,1,US
1516,1/26/20,1,US
1517,1/27/20,1,US
1518,1/28/20,1,US
1519,1/29/20,1,US
1520,1/30/20,1,US
1521,1/31/20,2,US
1522,2/1/20,2,US
1523,2/2/20,2,US
1524,2/3/20,2,US
1525,2/4/20,2,US
1526,2/5/20,2,US
1527,2/6/20,2,US
1528,2/7/20,2,US
1529,2/8/20,2,US
1530,2/9/20,2,US
1531,2/10/20,2,US
1532,2/11/20,2,US
1533,2/12/20,2,US
1534,2/13/20,2,US
1535,2/14/20,2,US
1536,2/15/20,2,US
1537,2/16/20,2,US
1538,2/17/20,2,US
1539,2/18/20,2,US
1540,2/19/20,2,US
1541,2/20/20,2,US
1542,2/21/20,2,US
1543,2/22/20,2,US
1544,2/23/20,2,US
1545,2/24/20,2,US
1546,2/25/20,2,US
1547,2/26/20,2,US
1548,2/27/20,2,US
1549,2/28/20,2,US
1550,2/29/20,2,US
1551,3/1/20,3,US
1552,3/2/20,4,US
1553,3/3/20,4,US
1554,1/22/20,0,US
1555,1/23/20,0,US
1556,1/24/20,0,US
1557,1/25/20,0,US
1558,1/26/20,1,US
1559,1/27/20,1,US
1560,1/28/20,1,US
1561,1/29/20,1,US
1562,1/30/20,1,US
1563,1/31/20,1,US
1564,2/1/20,1,US
1565,2/2/20,1,US
1566,2/3/20,1,US
1567,2/4/20,1,US
1568,2/5/20,1,US
1569,2/6/20,1,US
1570,2/7/20,1,US
1571,2/8/20,1,US
1572,2/9/20,1,US
1573,2/10/20,1,US
1574,2/11/20,1,US
1575,2/12/20,1,US
1576,2/13/20,1,US
1577,2/14/20,1,US
1578,2/15/20,1,US
1579,2/16/20,1,US
1580,2/17/20,1,US
1581,2/18/20,1,US
1582,2/19/20,1,US
1583,2/20/20,1,US
1584,2/21/20,1,US
1585,2/22/20,1,US
1586,2/23/20,1,US
1587,2/24/20,1,US
1588,2/25/20,1,US
1589,2/26/20,1,US
1590,2/27/20,1,US
1591,2/28/20,1,US
1592,2/29/20,1,US
1593,3/1/20,1,US
1594,3/2/20,1,US
1595,3/3/20,1,US
1596,1/22/20,1,Macau
1597,1/23/20,2,Macau
1598,1/24/20,2,Macau
1599,1/25/20,2,Macau
1600,1/26/20,5,Macau
1601,1/27/20,6,Macau
1602,1/28/20,7,Macau
1603,1/29/20,7,Macau
1604,1/30/20,7,Macau
1605,1/31/20,7,Macau
1606,2/1/20,7,Macau
1607,2/2/20,8,Macau
1608,2/3/20,8,Macau
1609,2/4/20,10,Macau
1610,2/5/20,10,Macau
1611,2/6/20,10,Macau
1612,2/7/20,10,Macau
1613,2/8/20,10,Macau
1614,2/9/20,10,Macau
1615,2/10/20,10,Macau
1616,2/11/20,10,Macau
1617,2/12/20,10,Macau
1618,2/13/20,10,Macau
1619,2/14/20,10,Macau
1620,2/15/20,10,Macau
1621,2/16/20,10,Macau
1622,2/17/20,10,Macau
1623,2/18/20,10,Macau
1624,2/19/20,10,Macau
1625,2/20/20,10,Macau
1626,2/21/20,10,Macau
1627,2/22/20,10,Macau
1628,2/23/20,10,Macau
1629,2/24/20,10,Macau
1630,2/25/20,10,Macau
1631,2/26/20,10,Macau
1632,2/27/20,10,Macau
1633,2/28/20,10,Macau
1634,2/29/20,10,Macau
1635,3/1/20,10,Macau
1636,3/2/20,10,Macau
1637,3/3/20,10,Macau
1638,1/22/20,0,Hong Kong
1639,1/23/20,2,Hong Kong
1640,1/24/20,2,Hong Kong
1641,1/25/20,5,Hong Kong
1642,1/26/20,8,Hong Kong
1643,1/27/20,8,Hong Kong
1644,1/28/20,8,Hong Kong
1645,1/29/20,10,Hong Kong
1646,1/30/20,10,Hong Kong
1647,1/31/20,12,Hong Kong
1648,2/1/20,13,Hong Kong
1649,2/2/20,15,Hong Kong
1650,2/3/20,15,Hong Kong
1651,2/4/20,17,Hong Kong
1652,2/5/20,21,Hong Kong
1653,2/6/20,24,Hong Kong
1654,2/7/20,25,Hong Kong
1655,2/8/20,26,Hong Kong
1656,2/9/20,29,Hong Kong
1657,2/10/20,38,Hong Kong
1658,2/11/20,49,Hong Kong
1659,2/12/20,50,Hong Kong
1660,2/13/20,53,Hong Kong
1661,2/14/20,56,Hong Kong
1662,2/15/20,56,Hong Kong
1663,2/16/20,57,Hong Kong
1664,2/17/20,60,Hong Kong
1665,2/18/20,62,Hong Kong
1666,2/19/20,63,Hong Kong
1667,2/20/20,68,Hong Kong
1668,2/21/20,68,Hong Kong
1669,2/22/20,69,Hong Kong
1670,2/23/20,74,Hong Kong
1671,2/24/20,79,Hong Kong
1672,2/25/20,84,Hong Kong
1673,2/26/20,91,Hong Kong
1674,2/27/20,92,Hong Kong
1675,2/28/20,94,Hong Kong
1676,2/29/20,95,Hong Kong
1677,3/1/20,96,Hong Kong
1678,3/2/20,100,Hong Kong
1679,3/3/20,100,Hong Kong
1680,1/22/20,0,Singapore
1681,1/23/20,1,Singapore
1682,1/24/20,3,Singapore
1683,1/25/20,3,Singapore
1684,1/26/20,4,Singapore
1685,1/27/20,5,Singapore
1686,1/28/20,7,Singapore
1687,1/29/20,7,Singapore
1688,1/30/20,10,Singapore
1689,1/31/20,13,Singapore
1690,2/1/20,16,Singapore
1691,2/2/20,18,Singapore
1692,2/3/20,18,Singapore
1693,2/4/20,24,Singapore
1694,2/5/20,28,Singapore
1695,2/6/20,28,Singapore
1696,2/7/20,30,Singapore
1697,2/8/20,33,Singapore
1698,2/9/20,40,Singapore
1699,2/10/20,45,Singapore
1700,2/11/20,47,Singapore
1701,2/12/20,50,Singapore
1702,2/13/20,58,Singapore
1703,2/14/20,67,Singapore
1704,2/15/20,72,Singapore
1705,2/16/20,75,Singapore
1706,2/17/20,77,Singapore
1707,2/18/20,81,Singapore
1708,2/19/20,84,Singapore
1709,2/20/20,84,Singapore
1710,2/21/20,85,Singapore
1711,2/22/20,85,Singapore
1712,2/23/20,89,Singapore
1713,2/24/20,89,Singapore
1714,2/25/20,91,Singapore
1715,2/26/20,93,Singapore
1716,2/27/20,93,Singapore
1717,2/28/20,93,Singapore
1718,2/29/20,102,Singapore
1719,3/1/20,106,Singapore
1720,3/2/20,108,Singapore
1721,3/3/20,110,Singapore
1722,1/22/20,0,Vietnam
1723,1/23/20,2,Vietnam
1724,1/24/20,2,Vietnam
1725,1/25/20,2,Vietnam
1726,1/26/20,2,Vietnam
1727,1/27/20,2,Vietnam
1728,1/28/20,2,Vietnam
1729,1/29/20,2,Vietnam
1730,1/30/20,2,Vietnam
1731,1/31/20,2,Vietnam
1732,2/1/20,6,Vietnam
1733,2/2/20,6,Vietnam
1734,2/3/20,8,Vietnam
1735,2/4/20,8,Vietnam
1736,2/5/20,8,Vietnam
1737,2/6/20,10,Vietnam
1738,2/7/20,10,Vietnam
1739,2/8/20,13,Vietnam
1740,2/9/20,13,Vietnam
1741,2/10/20,14,Vietnam
1742,2/11/20,15,Vietnam
1743,2/12/20,15,Vietnam
1744,2/13/20,16,Vietnam
1745,2/14/20,16,Vietnam
1746,2/15/20,16,Vietnam
1747,2/16/20,16,Vietnam
1748,2/17/20,16,Vietnam
1749,2/18/20,16,Vietnam
1750,2/19/20,16,Vietnam
1751,2/20/20,16,Vietnam
1752,2/21/20,16,Vietnam
1753,2/22/20,16,Vietnam
1754,2/23/20,16,Vietnam
1755,2/24/20,16,Vietnam
1756,2/25/20,16,Vietnam
1757,2/26/20,16,Vietnam
1758,2/27/20,16,Vietnam
1759,2/28/20,16,Vietnam
1760,2/29/20,16,Vietnam
1761,3/1/20,16,Vietnam
1762,3/2/20,16,Vietnam
1763,3/3/20,16,Vietnam
1764,1/22/20,0,France
1765,1/23/20,0,France
1766,1/24/20,2,France
1767,1/25/20,3,France
1768,1/26/20,3,France
1769,1/27/20,3,France
1770,1/28/20,4,France
1771,1/29/20,5,France
1772,1/30/20,5,France
1773,1/31/20,5,France
1774,2/1/20,6,France
1775,2/2/20,6,France
1776,2/3/20,6,France
1777,2/4/20,6,France
1778,2/5/20,6,France
1779,2/6/20,6,France
1780,2/7/20,6,France
1781,2/8/20,11,France
1782,2/9/20,11,France
1783,2/10/20,11,France
1784,2/11/20,11,France
1785,2/12/20,11,France
1786,2/13/20,11,France
1787,2/14/20,11,France
1788,2/15/20,12,France
1789,2/16/20,12,France
1790,2/17/20,12,France
1791,2/18/20,12,France
1792,2/19/20,12,France
1793,2/20/20,12,France
1794,2/21/20,12,France
1795,2/22/20,12,France
1796,2/23/20,12,France
1797,2/24/20,12,France
1798,2/25/20,14,France
1799,2/26/20,18,France
1800,2/27/20,38,France
1801,2/28/20,57,France
1802,2/29/20,100,France
1803,3/1/20,130,France
1804,3/2/20,191,France
1805,3/3/20,204,France
1806,1/22/20,0,Nepal
1807,1/23/20,0,Nepal
1808,1/24/20,0,Nepal
1809,1/25/20,1,Nepal
1810,1/26/20,1,Nepal
1811,1/27/20,1,Nepal
1812,1/28/20,1,Nepal
1813,1/29/20,1,Nepal
1814,1/30/20,1,Nepal
1815,1/31/20,1,Nepal
1816,2/1/20,1,Nepal
1817,2/2/20,1,Nepal
1818,2/3/20,1,Nepal
1819,2/4/20,1,Nepal
1820,2/5/20,1,Nepal
1821,2/6/20,1,Nepal
1822,2/7/20,1,Nepal
1823,2/8/20,1,Nepal
1824,2/9/20,1,Nepal
1825,2/10/20,1,Nepal
1826,2/11/20,1,Nepal
1827,2/12/20,1,Nepal
1828,2/13/20,1,Nepal
1829,2/14/20,1,Nepal
1830,2/15/20,1,Nepal
1831,2/16/20,1,Nepal
1832,2/17/20,1,Nepal
1833,2/18/20,1,Nepal
1834,2/19/20,1,Nepal
1835,2/20/20,1,Nepal
1836,2/21/20,1,Nepal
1837,2/22/20,1,Nepal
1838,2/23/20,1,Nepal
1839,2/24/20,1,Nepal
1840,2/25/20,1,Nepal
1841,2/26/20,1,Nepal
1842,2/27/20,1,Nepal
1843,2/28/20,1,Nepal
1844,2/29/20,1,Nepal
1845,3/1/20,1,Nepal
1846,3/2/20,1,Nepal
1847,3/3/20,1,Nepal
1848,1/22/20,0,Malaysia
1849,1/23/20,0,Malaysia
1850,1/24/20,0,Malaysia
1851,1/25/20,3,Malaysia
1852,1/26/20,4,Malaysia
1853,1/27/20,4,Malaysia
1854,1/28/20,4,Malaysia
1855,1/29/20,7,Malaysia
1856,1/30/20,8,Malaysia
1857,1/31/20,8,Malaysia
1858,2/1/20,8,Malaysia
1859,2/2/20,8,Malaysia
1860,2/3/20,8,Malaysia
1861,2/4/20,10,Malaysia
1862,2/5/20,12,Malaysia
1863,2/6/20,12,Malaysia
1864,2/7/20,12,Malaysia
1865,2/8/20,16,Malaysia
1866,2/9/20,16,Malaysia
1867,2/10/20,18,Malaysia
1868,2/11/20,18,Malaysia
1869,2/12/20,18,Malaysia
1870,2/13/20,19,Malaysia
1871,2/14/20,19,Malaysia
1872,2/15/20,22,Malaysia
1873,2/16/20,22,Malaysia
1874,2/17/20,22,Malaysia
1875,2/18/20,22,Malaysia
1876,2/19/20,22,Malaysia
1877,2/20/20,22,Malaysia
1878,2/21/20,22,Malaysia
1879,2/22/20,22,Malaysia
1880,2/23/20,22,Malaysia
1881,2/24/20,22,Malaysia
1882,2/25/20,22,Malaysia
1883,2/26/20,22,Malaysia
1884,2/27/20,23,Malaysia
1885,2/28/20,23,Malaysia
1886,2/29/20,25,Malaysia
1887,3/1/20,29,Malaysia
1888,3/2/20,29,Malaysia
1889,3/3/20,36,Malaysia
1890,1/22/20,0,Canada
1891,1/23/20,0,Canada
1892,1/24/20,0,Canada
1893,1/25/20,0,Canada
1894,1/26/20,1,Canada
1895,1/27/20,1,Canada
1896,1/28/20,1,Canada
1897,1/29/20,1,Canada
1898,1/30/20,1,Canada
1899,1/31/20,2,Canada
1900,2/1/20,2,Canada
1901,2/2/20,2,Canada
1902,2/3/20,2,Canada
1903,2/4/20,2,Canada
1904,2/5/20,2,Canada
1905,2/6/20,2,Canada
1906,2/7/20,2,Canada
1907,2/8/20,2,Canada
1908,2/9/20,2,Canada
1909,2/10/20,2,Canada
1910,2/11/20,2,Canada
1911,2/12/20,2,Canada
1912,2/13/20,2,Canada
1913,2/14/20,2,Canada
1914,2/15/20,2,Canada
1915,2/16/20,2,Canada
1916,2/17/20,2,Canada
1917,2/18/20,2,Canada
1918,2/19/20,2,Canada
1919,2/20/20,2,Canada
1920,2/21/20,2,Canada
1921,2/22/20,2,Canada
1922,2/23/20,2,Canada
1923,2/24/20,3,Canada
1924,2/25/20,3,Canada
1925,2/26/20,3,Canada
1926,2/27/20,5,Canada
1927,2/28/20,5,Canada
1928,2/29/20,10,Canada
1929,3/1/20,14,Canada
1930,3/2/20,17,Canada
1931,3/3/20,19,Canada
1932,1/22/20,0,Canada
1933,1/23/20,0,Canada
1934,1/24/20,0,Canada
1935,1/25/20,0,Canada
1936,1/26/20,0,Canada
1937,1/27/20,0,Canada
1938,1/28/20,1,Canada
1939,1/29/20,1,Canada
1940,1/30/20,1,Canada
1941,1/31/20,1,Canada
1942,2/1/20,1,Canada
1943,2/2/20,1,Canada
1944,2/3/20,1,Canada
1945,2/4/20,1,Canada
1946,2/5/20,2,Canada
1947,2/6/20,2,Canada
1948,2/7/20,4,Canada
1949,2/8/20,4,Canada
1950,2/9/20,4,Canada
1951,2/10/20,4,Canada
1952,2/11/20,4,Canada
1953,2/12/20,4,Canada
1954,2/13/20,4,Canada
1955,2/14/20,4,Canada
1956,2/15/20,4,Canada
1957,2/16/20,4,Canada
1958,2/17/20,5,Canada
1959,2/18/20,5,Canada
